Output format is unaligned.
Field separator is "|".
mart|anomaly_event_severity_check|CONSTRAINT_CHECK|postgres||table=anomaly_event;definition=CHECK ((severity = ANY (ARRAY['INFO'::text, 'LOW'::text, 'MEDIUM'::text, 'HIGH'::text, 'CRITICAL'::text])))
mart|anomaly_event_status_check|CONSTRAINT_CHECK|postgres||table=anomaly_event;definition=CHECK ((status = ANY (ARRAY['OPEN'::text, 'RESOLVED'::text, 'SUPPRESSED'::text])))
mart|anomaly_rule_metric_direction_check|CONSTRAINT_CHECK|postgres||table=anomaly_rule;definition=CHECK ((metric_direction = ANY (ARRAY['DROP'::text, 'RISE'::text])))
mart|anomaly_rule_pkey|CONSTRAINT_PRIMARY_KEY|postgres||table=anomaly_rule;definition=PRIMARY KEY (rule_code)
mart|daily_action_item_item_type_check|CONSTRAINT_CHECK|postgres||table=daily_action_item;definition=CHECK ((item_type = ANY (ARRAY['RISK'::text, 'OPPORTUNITY'::text, 'WATCH'::text])))
mart|daily_action_item_opportunity_level_check|CONSTRAINT_CHECK|postgres||table=daily_action_item;definition=CHECK ((opportunity_level = ANY (ARRAY['O1_STRONG'::text, 'O2_HIGH'::text, 'O3_MEDIUM'::text, 'O4_WATCH'::text])))
mart|daily_action_item_pkey|CONSTRAINT_PRIMARY_KEY|postgres||table=daily_action_item;definition=PRIMARY KEY (action_item_id)
mart|daily_action_item_risk_level_check|CONSTRAINT_CHECK|postgres||table=daily_action_item;definition=CHECK ((risk_level = ANY (ARRAY['P1_URGENT'::text, 'P2_HIGH'::text, 'P3_MEDIUM'::text, 'P4_LOW'::text])))
mart|daily_action_item_status_check|CONSTRAINT_CHECK|postgres||table=daily_action_item;definition=CHECK ((status = ANY (ARRAY['OPEN'::text, 'WATCHING'::text, 'RESOLVED'::text, 'EXPIRED'::text])))
mart|diagnostic_entity_rule_pkey|CONSTRAINT_PRIMARY_KEY|postgres||table=diagnostic_entity_rule;definition=PRIMARY KEY (domain_key)
mart|diagnostic_metric_rule_metric_type_check|CONSTRAINT_CHECK|postgres||table=diagnostic_metric_rule;definition=CHECK ((metric_type = ANY (ARRAY['amount'::text, 'count'::text, 'average'::text, 'ratio'::text, 'efficiency'::text])))
mart|diagnostic_metric_rule_pkey|CONSTRAINT_PRIMARY_KEY|postgres||table=diagnostic_metric_rule;definition=PRIMARY KEY (metric_key)
mart|diagnostic_period_rule_pkey|CONSTRAINT_PRIMARY_KEY|postgres||table=diagnostic_period_rule;definition=PRIMARY KEY (period_key)
mart|diagnostic_result_diagnostic_code_fkey|CONSTRAINT_FOREIGN_KEY|postgres||table=diagnostic_result;definition=FOREIGN KEY (diagnostic_code) REFERENCES mart.diagnostic_type(diagnostic_code)
mart|diagnostic_result_diagnostic_status_check|CONSTRAINT_CHECK|postgres||table=diagnostic_result;definition=CHECK ((diagnostic_status = ANY (ARRAY['DIAGNOSED'::text, 'MULTI_FACTOR'::text, 'INSUFFICIENT_EVIDENCE'::text, 'NO_CONFIRMED_ANOMALY'::text, 'UNSUPPORTED_DOMAIN'::text, 'UNSUPPORTED_DIAGNOSTIC_PATH'::text, 'COVERAGE_INCOMPLETE'::text, 'MAPPING_INCOMPLETE'::text])))
mart|diagnostic_result_pkey|CONSTRAINT_PRIMARY_KEY|postgres||table=diagnostic_result;definition=PRIMARY KEY (diagnostic_id)
mart|diagnostic_result_primary_stage_check|CONSTRAINT_CHECK|postgres||table=diagnostic_result;definition=CHECK ((primary_stage = ANY (ARRAY['traffic'::text, 'click'::text, 'conversion'::text, 'refund'::text, 'advertising'::text, 'mix'::text, 'contribution'::text, 'unknown'::text])))
mart|diagnostic_result_source_anomaly_event_id_fkey|CONSTRAINT_FOREIGN_KEY|postgres||table=diagnostic_result;definition=FOREIGN KEY (source_anomaly_event_id) REFERENCES mart.anomaly_event(anomaly_event_id)
mart|diagnostic_type_pkey|CONSTRAINT_PRIMARY_KEY|postgres||table=diagnostic_type;definition=PRIMARY KEY (diagnostic_code)
mart|mart_dimension_rule_pkey|CONSTRAINT_PRIMARY_KEY|postgres||table=mart_dimension_rule;definition=PRIMARY KEY (rule_id)
mart|opportunity_event_opportunity_code_fkey|CONSTRAINT_FOREIGN_KEY|postgres||table=opportunity_event;definition=FOREIGN KEY (opportunity_code) REFERENCES mart.opportunity_type(opportunity_code)
mart|opportunity_event_opportunity_level_check|CONSTRAINT_CHECK|postgres||table=opportunity_event;definition=CHECK ((opportunity_level = ANY (ARRAY['LOW'::text, 'MEDIUM'::text, 'HIGH'::text, 'STRONG'::text])))
